CO,N,idle
78,1,46.21
40,2,58.82
52,3,51.85
73,4,51.23
90,5,49.48
90,6,44.04
98,7,41.73
104,8,36.43
109,9,32
119,10,27.34
124,11,25.09
132,12,27.99
130,13,27.41
144,14,20.08
120,15,20.68
140,16,5.43
129,17,11.97
137,18,11.32
166,19,5.16
148,20,10.89
158,21,9.69
169,22,2.73
136,23,9.23
116,24,0
144,25,0
165,26,2.35
147,27,0
175,28,2.34
175,29,1.57
162,30,0.79
163,31,1.19
189,32,0
168,33,0
175,34,0
182,35,0
174,36,3.15
174,37,0
167,38,0
158,39,0
165,40,1.19
164,41,0
168,42,0
167,43,0
173,44,0
160,45,0
174,46,0
164,47,0
155,48,0
118,49,0
146,50,0
